extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse
Och-CBur_049-Ex1	Och-CBur_049_Ex1-1D-lcwgs-1-2	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/4th_sequencing_run/fq_raw	wahab	lcwgs	NA	Och-CBur_049_Ex1-1D-lcwgs-1-2.1.fq.gz	Och-CBur_049_Ex1-1D-lcwgs-1-2.2.fq.gz
Tzo-CMta_022-Ex1	Tzo_CMta_022_Ex1_11F_lcwgs_1_2_L5	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMta	wahab	lcwgs	NA	Tzo_CMta_022_Ex1_11F_lcwgs_1_2_L5-1.fq.gz	Tzo_CMta_022_Ex1_11F_lcwgs_1_2_L5-2.fq.gz
Pli-AMvi_044-Ex1	Pli-AMvi_044-Ex1-5D-lcwgs-2-3-L5	/archive/carpenterlab/pire/pire_plotosus_lineatus_lcwgs/3rd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pli-AMvi_044-Ex1-5D-lcwgs-2-3-L5-1.fq.gz	Pli-AMvi_044-Ex1-5D-lcwgs-2-3-L5-2.fq.gz
Pbb-AGal_030-Ex1	Pbb-AGal_030-Ex1-4B-lcwgs-1-2	/archive/carpenterlab/pire/pire_parupeneus_barberinus_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pbb-AGal_030-Ex1-4B-lcwgs-1-2.1.fq.gz	Pbb-AGal_030-Ex1-4B-lcwgs-1-2.2.fq.gz
Pba-CVer_083-Ex1	Pba-CVer_083-Ex1-10E-lcwgs_L5	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-CVer_083-Ex1-10E-lcwgs_L5_1.fq.gz	Pba-CVer_083-Ex1-10E-lcwgs_L5_2.fq.gz
Tzo-CMta_063-Ex1	Tzo_CMta_063_Ex1_4G_lcwgs_1_2_L3	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMta	wahab	lcwgs	NA	Tzo_CMta_063_Ex1_4G_lcwgs_1_2_L3-1.fq.gz	Tzo_CMta_063_Ex1_4G_lcwgs_1_2_L3-2.fq.gz
Par-CPas_055-Ex1	Par-CPas_055-Ex1-4F5E-lcwgs-1and2-T	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_lcwgs_data_processing/periophthalmus_argentilineatus/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Par-CPas_055-Ex1-4F5E-lcwgs-1and2-T.1.fq.gz	Par-CPas_055-Ex1-4F5E-lcwgs-1and2-T.2.fq.gz
Pba-ABir_010-Ex1	Pba-ABir_010-Ex1-5E-lcwgs_L5	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-ABir_010-Ex1-5E-lcwgs_L5_1.fq.gz	Pba-ABir_010-Ex1-5E-lcwgs_L5_2.fq.gz
Sgr-APal_041-Ex1	Sgr-APal_041-Ex1-6A-lwgs-1-1	/archive/carpenterlab/pire/pire_spratelloides_gracilis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Sgr-APal_041-Ex1-6A-lwgs-1-1.1.fq.gz	Sgr-APal_041-Ex1-6A-lwgs-1-1.2.fq.gz
Hte-ATic_019-Ex1	Hte-ATic_019-Ex1-5F-lcwgs-2-T	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.51	Hte-ATic_019-Ex1-5F-lcwgs-2-T.1.fq.gz	Hte-ATic_019-Ex1-5F-lcwgs-2-T.2.fq.gz
Hte-ATic_019-Ex1	Hte-ATic_019-Ex1-5F-lcwgs-2-T	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/hypoatherina_temminckii/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.51	Hte-ATic_019-Ex1-5F-lcwgs-2-T.1.fq.gz	Hte-ATic_019-Ex1-5F-lcwgs-2-T.2.fq.gz
Tzo-CMvi_091-Ex1	Tzo_CMvi_091_Ex1_2C_lcwgs_1_2_L5	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMvi	wahab	lcwgs	NA	Tzo_CMvi_091_Ex1_2C_lcwgs_1_2_L5-1.fq.gz	Tzo_CMvi_091_Ex1_2C_lcwgs_1_2_L5-2.fq.gz
Adu-AGui_036-Ex1	Adu-AGui_036-Ex1-8C-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-AGui_036-Ex1-8C-lcwgs-1-1.1.fq.gz	Adu-AGui_036-Ex1-8C-lcwgs-1-1.2.fq.gz
Tzo-ABol_054-Ex1	Tzo_ABol_054_Ex1_6E_lcwgs_1_2_L3	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/ABol	wahab	lcwgs	NA	Tzo_ABol_054_Ex1_6E_lcwgs_1_2_L3-1.fq.gz	Tzo_ABol_054_Ex1_6E_lcwgs_1_2_L3-2.fq.gz
Adu-ASub_024-Ex1	Adu-ASub_024-Ex1-3H-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-ASub_024-Ex1-3H-lcwgs-1-1.1.fq.gz	Adu-ASub_024-Ex1-3H-lcwgs-1-1.2.fq.gz
Hte-ATaw_031-Ex1	Hte-ATaw_031-Ex1-4G-lcwgs-1-T	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.57	Hte-ATaw_031-Ex1-4G-lcwgs-1-T.1.fq.gz	Hte-ATaw_031-Ex1-4G-lcwgs-1-T.2.fq.gz
Hte-ATaw_031-Ex1	Hte-ATaw_031-Ex1-4G-lcwgs-1-T	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/hypoatherina_temminckii/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.57	Hte-ATaw_031-Ex1-4G-lcwgs-1-T.1.fq.gz	Hte-ATaw_031-Ex1-4G-lcwgs-1-T.2.fq.gz
Adu-CTag_019-Ex1	Adu-CTag_019-Ex1-11E-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-CTag_019-Ex1-11E-lcwgs-1-1.1.fq.gz	Adu-CTag_019-Ex1-11E-lcwgs-1-1.2.fq.gz
Hte-AMvi_010-Ex1	Hte-AMvi_010-Ex1-3D-lcwgs-2-2	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Hte-AMvi_010-Ex1-3D-lcwgs-2-2.1.fq.gz	Hte-AMvi_010-Ex1-3D-lcwgs-2-2.2.fq.gz
Hte-CTaw_054-Ex1	Hte-CTaw_054-Ex1-4H-lcwgs-1-2	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Hte-CTaw_054-Ex1-4H-lcwgs-1-2.1.fq.gz	Hte-CTaw_054-Ex1-4H-lcwgs-1-2.2.fq.gz
