extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse	correction_applied	correction_id	correction_details	correction_date
Sde-AGui_025-Ex1	SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_025-Ex1	SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702504AWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_025-Ex1	SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_025-Ex1	SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702507DWGSU_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_026-Ex1	SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_026-Ex1	SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702604BWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_026-Ex1	SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_026-Ex1	SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702607EWGSU_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_027-Ex1	SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_027-Ex1	SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702704CWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
