lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
120794	Sub	SubB	Grande_Island	14.7376526	120.270131	NA	Morong	Bataan	Central Luzon	Luzon	NA
120806	Bol	Mala	Bolalo_Bay	10.9230731	119.249382	Liminangcong	Taytay	Palawan	Southern Tagalog	Luzon	Bahia de Bolalo
120814	Nas	Nasu	sugbu	14.0498892	120.62174	NA	Lian	Batangas	CALABARZON	Luzon	NA
120907	Gui	Guij	Guijulugan_Beach	10.5045085	123.706992	Biasong	Balamban	Cebu	Central Visayas	Visayas	NA
120926	Mvi	Masi	Port_Matalvi_reef_Masinloc	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
131113	Gal	PGal	Puerto_Galera	13.4964937	120.957885	NA	Puerto Galera	Oriental Mindoro	MIMAROPA	Luzon	NA
136694	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
136697	Taw	Tawi	Tataan_Pass	5.2272706	119.89344	Mandulan	Bongao	Tawi-tawi	BARMM	Mindanao	NA
136727	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
136730	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
136734	Tic	MatB	Ticao_Pass	12.6664671	123.87085	NA	Bulan	Sorsogon	Bicol	Luzon	Bulan Fish Port
136748	Mvi	Masi	Port_Matalvi_reef	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
136749	Mat	MatB	Matnog_Bay	12.6664671	123.87085	NA	Bulan	Sorsogon	Bicol	Luzon	Bulan Fish Port
136753	Bur	CanB	Port_Busin	13.12921	122.97338	NA	San Pascual	Masbate	Bicol	Luzon	NA
136761	Jol	Jolo	Jolo	6.059904	120.990973	NA	Jolo	Sulu	BARMM	Mindanao	NA
136804	Bur	CanB	Port_Busin	13.12921	122.97338	NA	San Pascual	Masbate	Bicol	Luzon	NA
136808	Taw	Tawi	Tataan_Pass	5.2272706	119.89344	Mandulan	Bongao	Tawi-tawi	BARMM	Mindanao	NA
136809	Mvi	Masi	Port_Matalvi_reef_Masinloc	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
136810	Bat	PGal	Puerto_Galera	13.4963476	120.958486	NA	Puerto Galera	Oriental Mindoro	MIMAROPA	Luzon	NA
