individual_id	tissue_id	extraction_id	storage_solution	date_subsampling	subsampler	date_extracting	tube_stuffer	mg_tissue_extracted	digestion_min	extractor	extraction_tubeid	plateid	elution_buffer	num_elutions	elution1_plateid	elution1_plate_column	elution1_plate_row	elution1_total_volume_ul	elution1_vol_for_tamucc	elution1_vol_for_odu	elution1_nanodrop_ng_ul	elution2_plateid	elution2_plate_column	elution2_plate_row	elution2_total_volume_ul	elution2_vol_for_tamucc	elution2_vol_for_odu	elution2_nanodrop_ng_ul	elution3_plateid	elution3_plate_column	elution3_plate_row	elution3_total_volume_ul	elution3_vol_for_tamucc	elution3_vol_for_odu	elution3_nanodrop_ng_ul	elution4_plateid	elution4_plate_column	elution4_plate_row	elution4_total_volume_ul	elution4_vol_for_tamucc	elution4_vol_for_odu	elution4_nanodrop_ng_ul	date_gelled_odu	odu_volume_gelled_ul	odu_gel_jockey	elution1_gel_score_tamucc	elution2_gel_score_tamucc	elution3_gel_score_tamucc	elution4_gel_score_tamucc	elution_used	notes
Abu-ADup_042	Abu-ADup_042-mus	Abu-ADup_042-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-APnd_001	Abu-APnd_001-mus	Abu-APnd_001-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Gabe_Salomon	50	120	Gabe_Salomon	NA	Mix-A_006	EB	NA	Mix-A_006_E1	5	D	NA	NA	NA	74.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_002	Abu-APnd_002-mus	Abu-APnd_002-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB	NA	Mix-A_006_E1	6	D	NA	NA	NA	-25.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_003	Abu-APnd_003-mus	Abu-APnd_003-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	7	D	NA	NA	NA	165.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_004	Abu-APnd_004-mus	Abu-APnd_004-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	8	D	NA	NA	NA	63.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_005	Abu-APnd_005-mus	Abu-APnd_005-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	9	D	NA	NA	NA	35.299999999999997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_006	Abu-APnd_006-mus	Abu-APnd_006-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	10	D	NA	NA	NA	45.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_007	Abu-APnd_007-mus	Abu-APnd_007-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	11	D	NA	NA	NA	405.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_008	Abu-APnd_008-mus	Abu-APnd_008-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	Chandy_Jablonski	50	120	Chandy_Jablonski	NA	Mix-A_006	EB	NA	Mix-A_006_E1	12	D	NA	NA	NA	83.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
Abu-APnd_009	Abu-APnd_009-mus	Abu-APnd_009-Ex1	EtOH	2022-08-25T00:00:00Z	George_Bonsall	2022-10-24T00:00:00Z	John_Schaefer	50	120	John_Schaefer	NA	Mix-A_006	EB	NA	Mix-A_006_E1	1	E	NA	NA	NA	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2022-10-24T00:00:00Z	2	John_Schaefer	NA	NA	NA	NA	NA	NA
