gcl_sequence_id	pire_sequence_id	extraction_id
AbA0602408H	Abu-APnd_024-Ex1-8H-lcwgs-1-T	Abu-APnd_024-Ex1
AbA0603709A	Abu-APnd_037-Ex1-9A-lcwgs-1-T	Abu-APnd_037-Ex1
AbA0603809B	Abu-APnd_038-Ex1-9B-lcwgs-1-T	Abu-APnd_038-Ex1
AbA0603909C	Abu-APnd_039-Ex1-9C-lcwgs-1-T	Abu-APnd_039-Ex1
AbA0604009D	Abu-APnd_040-Ex1-9D-lcwgs-1-T	Abu-APnd_040-Ex1
AbA0604109E	Abu-APnd_041-Ex1-9E-lcwgs-1-T	Abu-APnd_041-Ex1
AbA0604209F	Abu-APnd_042-Ex1-9F-lcwgs-1-T	Abu-APnd_042-Ex1
AbA0604309G	Abu-APnd_043-Ex1-9G-lcwgs-1-T	Abu-APnd_043-Ex1
AbA0604409H	Abu-APnd_044-Ex1-9H-lcwgs-1-T	Abu-APnd_044-Ex1
AbA0604510A	Abu-APnd_045-Ex1-10A-lcwgs-1-T	Abu-APnd_045-Ex1
AbA0604610B	Abu-APnd_046-Ex1-10B-lcwgs-1-T	Abu-APnd_046-Ex1
AbA0604710C	Abu-APnd_047-Ex1-10C-lcwgs-1-T	Abu-APnd_047-Ex1
AbA0604810D	Abu-APnd_048-Ex1-10D-lcwgs-1-T	Abu-APnd_048-Ex1
AbA0604910E	Abu-APnd_049-Ex1-10E-lcwgs-1-T	Abu-APnd_049-Ex1
AbA0605010F	Abu-APnd_050-Ex1-10F-lcwgs-1-T	Abu-APnd_050-Ex1
AbA0605110G	Abu-APnd_051-Ex1-10G-lcwgs-1-T	Abu-APnd_051-Ex1
AbA0605210H	Abu-APnd_052-Ex1-10H-lcwgs-1-T	Abu-APnd_052-Ex1
AbA0605311A	Abu-APnd_053-Ex1-11A-lcwgs-1-T	Abu-APnd_053-Ex1
AbA0605411B	Abu-APnd_054-Ex1-11B-lcwgs-1-T	Abu-APnd_054-Ex1
AbA0605511C	Abu-APnd_055-Ex1-11C-lcwgs-1-T	Abu-APnd_055-Ex1
AbC0208301A	Abu-CPnd_083-Exx1-1A-lcwgs-1-T	Abu-CPnd_083-Ex1
AbC0207601B	Abu-CPnd_076-Exx1-1B-lcwgs-1-T	Abu-CPnd_076-Ex1
AbC0201501C	Abu-CPnd_015-Exx1-1C-lcwgs-1-T	Abu-CPnd_015-Ex1
AbC0209601D	Abu-CPnd_096-Exx1-1D-lcwgs-1-T	Abu-CPnd_096-Ex1
AbC0209501E	Abu-CPnd_095-Exx1-1E-lcwgs-1-T	Abu-CPnd_095-Ex1
AbC0208401F	Abu-CPnd_084-Exx1-1F-lcwgs-1-T	Abu-CPnd_084-Ex1
AbC0201101G	Abu-CPnd_011-Exx1-1G-lcwgs-1-T	Abu-CPnd_011-Ex1
AbC0202001H	Abu-CPnd_020-Exx1-1H-lcwgs-1-T	Abu-CPnd_020-Ex1
AbC0208602A	Abu-CPnd_086-Exx1-2A-lcwgs-1-T	Abu-CPnd_086-Ex1
AbC0205702B	Abu-CPnd_057-Exx1-2B-lcwgs-1-T	Abu-CPnd_057-Ex1
AbC0209402C	Abu-CPnd_094-Exx1-2C-lcwgs-1-T	Abu-CPnd_094-Ex1
AbC0201302D	Abu-CPnd_013-Exx1-2D-lcwgs-1-T	Abu-CPnd_013-Ex1
AbC0208002E	Abu-CPnd_080-Exx1-2E-lcwgs-1-T	Abu-CPnd_080-Ex1
AbC0209202F	Abu-CPnd_092-Exx1-2F-lcwgs-1-T	Abu-CPnd_092-Ex1
AbC0207202G	Abu-CPnd_072-Exx1-2G-lcwgs-1-T	Abu-CPnd_072-Ex1
AbC0206702H	Abu-CPnd_067-Exx1-2H-lcwgs-1-T	Abu-CPnd_067-Ex1
AbC0203703A	Abu-CPnd_037-Exx1-3A-lcwgs-1-T	Abu-CPnd_037-Ex1
AbC0205803B	Abu-CPnd_058-Exx1-3B-lcwgs-1-T	Abu-CPnd_058-Ex1
AbC0206503C	Abu-CPnd_065-Exx1-3C-lcwgs-1-T	Abu-CPnd_065-Ex1
AbC0208703D	Abu-CPnd_087-Exx1-3D-lcwgs-1-T	Abu-CPnd_087-Ex1
AbC0208503E	Abu-CPnd_085-Exx1-3E-lcwgs-1-T	Abu-CPnd_085-Ex1
AbC0207503F	Abu-CPnd_075-Exx1-3F-lcwgs-1-T	Abu-CPnd_075-Ex1
AbC0206603G	Abu-CPnd_066-Exx1-3G-lcwgs-1-T	Abu-CPnd_066-Ex1
AbC0205003H	Abu-CPnd_050-Exx1-3H-lcwgs-1-T	Abu-CPnd_050-Ex1
AbC0204704A	Abu-CPnd_047-Exx1-4A-lcwgs-1-T	Abu-CPnd_047-Ex1
AbC0208104B	Abu-CPnd_081-Exx1-4B-lcwgs-1-T	Abu-CPnd_081-Ex1
AbC0205504C	Abu-CPnd_055-Exx1-4C-lcwgs-1-T	Abu-CPnd_055-Ex1
AbC0204404D	Abu-CPnd_044-Exx1-4D-lcwgs-1-T	Abu-CPnd_044-Ex1
AbC0206104E	Abu-CPnd_061-Exx1-4E-lcwgs-1-T	Abu-CPnd_061-Ex1
AbC0206904F	Abu-CPnd_069-Exx1-4F-lcwgs-1-T	Abu-CPnd_069-Ex1
AbC0200704G	Abu-CPnd_007-Exx1-4G-lcwgs-1-T	Abu-CPnd_007-Ex1
AbC0201204H	Abu-CPnd_012-Exx1-4H-lcwgs-1-T	Abu-CPnd_012-Ex1
AbC0200605A	Abu-CPnd_006-Exx1-5A-lcwgs-1-T	Abu-CPnd_006-Ex1
AbC0203605B	Abu-CPnd_036-Exx1-5B-lcwgs-1-T	Abu-CPnd_036-Ex1
AbC0206405C	Abu-CPnd_064-Exx1-5C-lcwgs-1-T	Abu-CPnd_064-Ex1
AbC0203505D	Abu-CPnd_035-Exx1-5D-lcwgs-1-T	Abu-CPnd_035-Ex1
AbC0201405E	Abu-CPnd_014-Exx1-5E-lcwgs-1-T	Abu-CPnd_014-Ex1
AbC0200105F	Abu-CPnd_001-Exx1-5F-lcwgs-1-T	Abu-CPnd_001-Ex1
AbC0205305G	Abu-CPnd_053-Exx1-5G-lcwgs-1-T	Abu-CPnd_053-Ex1
AbC0205205H	Abu-CPnd_052-Exx1-5H-lcwgs-1-T	Abu-CPnd_052-Ex1
AbC0207106A	Abu-CPnd_071-Exx1-6A-lcwgs-1-T	Abu-CPnd_071-Ex1
AbC0207406B	Abu-CPnd_074-Exx1-6B-lcwgs-1-T	Abu-CPnd_074-Ex1
AbC0205906C	Abu-CPnd_059-Exx1-6C-lcwgs-1-T	Abu-CPnd_059-Ex1
AbC0205606D	Abu-CPnd_056-Exx1-6D-lcwgs-1-T	Abu-CPnd_056-Ex1
AbC0201006E	Abu-CPnd_010-Exx1-6E-lcwgs-1-T	Abu-CPnd_010-Ex1
AbC0206306F	Abu-CPnd_063-Exx1-6F-lcwgs-1-T	Abu-CPnd_063-Ex1
AbC0204806G	Abu-CPnd_048-Exx1-6G-lcwgs-1-T	Abu-CPnd_048-Ex1
AbC0204606H	Abu-CPnd_046-Exx1-6H-lcwgs-1-T	Abu-CPnd_046-Ex1
AbC0207007A	Abu-CPnd_070-Exx1-7A-lcwgs-1-T	Abu-CPnd_070-Ex1
